2.00 GHz, -20 dBm transmit,d=0.12 m,,0.446 GHz, -20 dBm transmit,d = 0.7472 m,,0.29 GHz, -20 dBm transmit,d=1.2192m,,
Distance (m),Power (dBm),Angle (deg),Power (dBm),Distance (m),Power (dBm),Angle (deg),Power (dBm),Distance (m),Power (dBm),Angle (deg),Power (dBm),Distance between antennas (in)
0.0874,-27.2,-65,-41.8,0.5694,-28.5,-65,-47.1,1.016,-33.8,-65,-49.9,1
0.1128,-29.7,-55,-38.3,0.5948,-28.5,-55,-42.1,1.0414,-34.3,-55,-43.9,1.5
0.11915,-30.2,-45,-34.8,0.6202,-29.4,-45,-38.7,1.0668,-34.3,-45,-41.4,2
0.1255,-30.2,-35,-32.8,0.6456,-29.9,-35,-35.7,1.0922,-34.3,-35,-37.9,2.5
0.13185,-30.7,-25,-31.8,0.671,-29.9,-25,-33.4,1.1176,-34.8,-25,-36.9,3
0.1382,-30.7,-20,-31.3,0.6964,-29.9,-20,-32.4,1.143,-34.8,-20,-35.9,3.5
0.1636,-31.7,-15,-30.8,0.7218,-30.4,-15,-31.4,1.1684,-34.8,-15,-35.4,4
0.189,-33.2,-10,-29.8,0.7472,-30.4,-10,-30.9,1.1938,-34.8,-10,-34.9,4.5
0.2144,-34.2,-5,-30.3,0.7726,-30.4,-5,-30.4,1.2192,-34.8,-5,-34.9,5
0.2398,-34.7,0,-30.5,0.798,-31.4,0,-30.4,1.2446,-35.3,0,-34.4,5.5
,,5,-30.5,0.8234,-31.4,5,-30.4,1.27,-35.3,5,-34.5,6
,,10,-30.5,0.8488,-31.9,10,-31.4,1.2954,-35.3,10,-34.9,6.5
,,15,-31,0.925,-32.9,15,-31.9,1.3716,-35.8,15,-35.9,7
,,20,-31.5,1.0012,-33.9,20,-32.9,1.4478,-35.8,20,-35.9,7.5
,,25,-32,1.0774,-34.4,25,-33.9,1.524,-36.3,25,-36.4,8
,,35,-34,,,35,-35.6,1.6002,-38.3,35,-37.9,8.5
,,45,-34.5,,,45,-38.1,1.7526,-40.3,45,-40.4,9
,,55,-37.9,,,55,-42.1,,,55,-42.9,9.5
,,65,-45.3,,,65,-46.1,,,65,-43.9,10
